title,description,job_levels,languages,duration_minutes,test_type,is_remote,url,is_adaptive
ASP .NET with C# (New),"multi-choice test that measures the knowledge of .net framework and controls, c fundamentals, oops concepts and advanced topics such as data access components, state management and security services.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",13,['K'],TRUE,https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,FALSE
Metallurgical Engineering (New),"multi-choice test that measures the knowledge of process metallurgy, industrial metallurgy and physical metallurgy.","['Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",10,['K'],TRUE,https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,FALSE
Financial Accounting (New),"multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.","['Entry-Level', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",9,['K'],TRUE,https://www.shl.com/products/product-catalog/view/financial-accounting-new/,FALSE
Microsoft SQL Server 2014 Programming,"the microsoft sql server 2014 programming test measures knowledge of microsoft structure query language (sql) server 2014 programming. designed for experienced database programmers, this test covers the following topics: beyond relational, control flow, data types and null, database design, developer tools, modifying data, running queries, and writing queries.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",35,['K'],TRUE,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,TRUE
PJM Development Report,"the person-job match report is unique in that it matches the performance potential of the individual to the jobs specific competencies. this provides you with a comprehensive and insightful understanding of person-job fit. the pjm development report is written to support competency focused development of an individual. in a development context, this report can be used: to identify specific areas of strength and weakness that may impact on the individual?s performance.as the basis for identifying areas for development and development planning. for discussing fit to future roles and career planning.","['Mid-Professional', ' Graduate', ' Manager', '']","['Italian', ' English International', ' English (USA)', ' French (Canada)', ' Portuguese (Brazil)', ' Latin American Spanish', '']",0,"['Cognitive', 'Ability', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/pjm-development-report/,FALSE
Smart Interview Live Coding,"smart interview live coding is a real-time online coding interview, with a compiler interface. it enables one-to-one, panel and group interviews. use smart interview live coding to comprehensively evaluate candidates skills across various technical roles and hire the best coding talent. the language availability for the candidate and interviewer interface is english (us), simplified chinese, castilian spanish, japanese. please note that the questions themselves are available as standard in us english only. the language availability for the admin interface is us english only.","['Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Entry-Level', '']","['English (USA)', '']",0,['K'],TRUE,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/,FALSE
Manufacturing & Industrial - Vigilance Focus 8.0,"the manufacturing and industrial vigilance focus 8.0 job-focused assessment measures the behaviors that underlie successful and safe performance in an industrial/manufacturing setting. this solution assesses process monitoring and other foundational behaviors including behaving safely in the workplace; applying domain-related expertise; offering practical solutions; and attending to multiple tasks. potential job titles that use this solution include: machine and equipment operators, assemblers fitters, maintenance/ repair workers, dispatchers, surveillance, quality assurance workers","['Entry-Level', ' Mid-Professional', ' Professional Individual Contributor', ' Graduate', ' Manager', '']","['English (USA)', '']",34,"['Ability', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,FALSE
Verify - G+,"the g test is part of the verify suite of cognitive ability tests. the test is designed to measure three types of ability: numerical, deductive, and inductive. there are 30 questions in the test, with 10 questions for each of the three abilities measured. sample tasks for jobs that may require these abilities include, but are not limited to: evaluating arguments, analyzing scenarios, working with data, doing mathematical computations, interpreting graphs and tables, and drawing logical conclusions. the g test, due to its adaptive nature, is appropriate for all job levels and roles.","['General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', ' Director', ' Entry-Level', ' Executive', ' Front Line Manager', '']","['Romanian', ' English (USA)', ' English International', ' French (Canada)', ' Latin American Spanish', ' Arabic', ' Dutch', ' French', ' German', ' Swedish', ' Chinese Simplified', ' Chinese Traditional', ' Czech', ' Danish', ' Greek', ' Hungarian', ' Italian', ' Korean', ' Norwegian', ' Polish', ' Portuguese', ' Thai', ' Turkish', ' Finnish', ' Japanese', ' Spanish', ' Indonesian', ' Russian', ' Slovak', ' Serbian', ' Portuguese (Brazil)', ' Vietnamese', '']",36,['Ability'],TRUE,https://www.shl.com/products/product-catalog/view/verify-g/,TRUE
Mineral Engineering (New),"multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical thermodynamics, mineralogy, petrology and stratigraphy.","['Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",12,['K'],TRUE,https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,FALSE
Universal Competency Framework Profiler Cards (44),"the ucf sets out the key behaviours that drive performance using a standard, proven hierarchy that can be applied to virtually any job at any level, in any organisation around the world.","['Director', ' Entry-Level', ' Executive', ' Front Line Manager', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', '']","['Portuguese (Brazil)', ' Latin American Spanish', ' French', ' Chinese Simplified', ' Icelandic', ' Lithuanian', ' Danish', ' Dutch', ' English International', ' Finnish', ' German', ' Italian', ' Norwegian', ' Portuguese', ' Spanish', ' English (USA)', ' Swedish', '']",0,"['Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,FALSE
Civil Engineering (New),"multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.","['Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",10,['K'],TRUE,https://www.shl.com/products/product-catalog/view/civil-engineering-new/,FALSE
Basic Statistics (New),"multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",10,['K'],TRUE,https://www.shl.com/products/product-catalog/view/basic-statistics-new/,FALSE
OPQ Leadership Report,"this opq (occupational personality questionnaire) report provides a detailed analysis of an individuals leadership potential. it is based on shls leading edge leadership model, providing a competency based approach to leadership.","['Director', ' Executive', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', '']","['Dutch', ' English International', ' English (USA)', ' Romanian', ' Portuguese', ' French', ' German', ' Swedish', ' Chinese Simplified', ' Portuguese (Brazil)', ' Japanese', ' Polish', ' Russian', ' Latin American Spanish', '']",0,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,FALSE
Swing (New),"multi-choice test that measures the knowledge of components, containers, layouts and event handling in swing.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",4,['K'],TRUE,https://www.shl.com/products/product-catalog/view/swing-new/,FALSE
Workplace Health and Safety (New),"multi-choice test that measures the knowledge of first aid, emergency safety measures, cleanliness and personal hygiene.","['Entry-Level', ' Graduate', ' Manager', ' Supervisor', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",9,['K'],TRUE,https://www.shl.com/products/product-catalog/view/workplace-health-and-safety-new/,FALSE
CSS3 (New),multi-choice test that measures the knowledge of css3 and its application in providing style to web documents.,"['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",8,['K'],TRUE,https://www.shl.com/products/product-catalog/view/css3-new/,FALSE
Cisco AppDynamics (New),"multi-choice test that measures the knowledge of application analytics, performance management, and appdynamics essentials like controller ui, custom dashboard, reports and monitoring.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",9,['K'],TRUE,https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,FALSE
Graduate Scenarios Narrative Report,"graduate scenarios is a unique test of managerial judgement - an individuals ability to decide on effective ways of handling real life situations. it is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. it consists of hypothetical scenarios, each followed by several possible responses. candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. it can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. reports available: graduate scenarios narrative report: a participant focused report that contains; - graduate scenarios profile - feedback report (with development tips) breaking down the overall managerial judgement results into each of the 3 sub-scales; managing objectives, people management and corporate management. graduate scenarios profile: displays all scores on these scales in terms of four types of norm system; t-scores, percentiles, stens and grades.","['Mid-Professional', ' Professional Individual Contributor', ' Manager', ' Graduate', '']",[''],0,['Behavioral'],TRUE,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,FALSE
Econometrics (New),"multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",11,['K'],TRUE,https://www.shl.com/products/product-catalog/view/econometrics-new/,FALSE
Smart Interview Live,"shl live video interview is a real-time video interview tool. it allows recruiters and line managers to remotely engage with candidates and reach hiring decisions faster. delight shortlisted candidates with a face2face digital interview that goes way beyond a conference call. interact with whiteboards, instant file-sharing, draw from an expertly-curated question bank and provide a remote end-to-end interview experience that increases your chance of conversion. language availability the candidate and assessor interface is available in us english, japanese, simplified chinese, castilian spanish, portuguese, brazilian portuguese, french, canadian french, italian, dutch, latin american spanish, romanian, indonesian, german, arabic, greek. the admin interface is available in us english and simplified chinese (cn server).","['Entry-Level', ' Front Line Manager', ' General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",0,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/smart-interview-live/,FALSE
Informatica (Architecture) (New),"multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with informatica.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",10,['K'],TRUE,https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,FALSE
Automata (New),"an ai-powered coding simulation assessment that evaluates candidates programming ability. offers a familiar ide environment available in over 40 different programming languages and tests candidates using real-world coding problems. your use of this assessment product may be subject to new york city law 144 (regulation of the use of automated employment decision tools) (dated july 5, 2023). compliance with law 144 is your responsibility. read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",45,['Skills'],TRUE,https://www.shl.com/products/product-catalog/view/automata-new/,FALSE
Pharmaceutical Chemistry (New),"multi-choice test that measures the knowledge of physical chemistry, organic chemistry, inorganic chemistry, biochemistry and medicinal chemistry.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",17,['K'],TRUE,https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,FALSE
RemoteWorkQ Participant Report,"using the apta architecture to focus on the relevant competency behaviors in the universal competency framework, shl developed the remoteworkq to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: o work relationships o work habits o self-development well-being the remoteworkq is intended for use across job families and levels for which working in a remote environment is important for the role. this report is designed to help you be more successful in a remote working environment by providing: o insights into your identified strengths and potential risks for working remotely o individualized coaching tips on how you can use your identified strengths to overcome risks","['General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', ' Director', ' Entry-Level', ' Executive', ' Front Line Manager', '']",[''],0,['Cognitive'],TRUE,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,FALSE
Basic Biology (New),multi choice test that measures the candidates basic understanding of biology.,"['Professional Individual Contributor', ' Graduate', ' Mid-Professional', '']","['English (USA)', '']",6,['K'],TRUE,https://www.shl.com/products/product-catalog/view/basic-biology-new/,FALSE
SVAR - Spoken French (European) (New),"test automatisé de français parlé qui évalue laisance, la prononciation, lécoute active, le vocabulaire, la grammaire, et la compréhension du français parlé. your use of this assessment product may be subject to new york city law 144 (regulation of the use of automated employment decision tools) (dated july 5, 2023). compliance with law 144 is your responsibility. read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","['Entry-Level', '']","['French', '']",0,['Skills'],TRUE,https://www.shl.com/products/product-catalog/view/svar-spoken-french-european-new/,FALSE
Java Design Patterns (New),multi-choice test that measures the knowledge of the types of design patterns in java and principles like threads and refactoring used in java design patterns.,"['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",5,['K'],TRUE,https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,FALSE
HiPo Assessment Report 2.0,"part of shls high potential solution and developed from shls extensive research into high-potential programs, the hipo assessment report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. using assessments such as the motivation questionnaire, opq, and verify cognitive ability tests, the report evaluates critical areas of aspiration, ability, and engagement. this report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success.",[''],[''],0,"['Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,FALSE
Sales Transformation Report 1.0 - Sales Manager,"this report combines insights from the opq and a sales management questionnaire. it provides an accurate and objective measure of a sales managers capability to lead a sales team undergoing a sales transformation process. insights included in this report include an overall job-fit score, and individual scores and score narratives for the behaviours included in shls sales transformation behavioural model.","['Director', ' Executive', ' Front Line Manager', ' Manager', ' Supervisor', '']",[''],0,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/,FALSE
Petrochemical Engineering (New),"multi-choice test that measures the knowledge of fluid and thermal principles of petrochemical engineering, chemical processes, petroleum composition and processing.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",7,['K'],TRUE,https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,FALSE
Prism (New),"multi-choice test that measures the knowledge of modules, patterns and other basic concepts of using the prism library.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",4,['K'],TRUE,https://www.shl.com/products/product-catalog/view/prism-new/,FALSE
Apache Hadoop Extensions (New),"multi-choice test that measures the conceptual knowledge of pig, hive and hbase.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",9,['K'],TRUE,https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,FALSE
OPQ Emotional Intelligence Report,this opq (occupational personality questionnaire) report explores how a person manages feelings and relationships with other people. it is intended for use in a development setting.,"['Director', ' Executive', ' Front Line Manager', ' General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['Portuguese (Brazil)', ' Danish', ' Dutch', ' Finnish', ' French (Canada)', ' French', ' Latin American Spanish', ' Portuguese', ' Swedish', ' English International', ' English (USA)', '']",0,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,FALSE
OPQ Premium Plus Report,"this opq (occupational personality questionnaire) report contains a selection of reports including opq profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.","['Supervisor', ' Front Line Manager', ' General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Director', ' Executive', '']","['English International', '']",0,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,FALSE
Digital Readiness Development Report - Manager,"this participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against shls digital readiness framework. the report describes the way the person typically behaves, rather than their actual skill levels. it gives an indication of the individuals likely strengths in each area and makes suggestions for development activities, based upon the information gained from the questionnaire. note: this report is specifically aimed at managers. a version designed for individual contributors is also available (see digital readiness report - ic).","['Entry-Level', ' Executive', ' Front Line Manager', ' General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Supervisor', ' Director', '']",[''],0,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,FALSE
Drupal (New),"multi-choice test that measures the knowledge of drupal setup, content management, user interface, module development and security.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",17,['K'],TRUE,https://www.shl.com/products/product-catalog/view/drupal-new/,FALSE
OPQ Profile Report,"this is a graphical profile charts presenting results across the 32 opq scales. it is designed to be interpreted by opq trained users only. please note this report is currently being updated on talent central as part of a reporting refresh project, and there may be visual differences when comparing talent central reports to ones generated on other assessment platforms. differences are regarding the layout and display of the reports only and do not affect the underlying scoring. when viewing sample reports, please ensure you select the appropriate language and platform example. where a sample report has no platform indicated, it is available on both the talent central and soda platforms.","['Director', ' Executive', ' Front Line Manager', ' General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['Arabic', ' Romanian', ' Slovak', ' Serbian', ' Chinese Simplified', ' Chinese Traditional', ' Danish', ' Flemish', ' Dutch', ' English International', ' Finnish', ' French (Belgium)', ' French (Canada)', ' French', ' German', ' Greek', ' Hungarian', ' Icelandic', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Norwegian', ' Polish', ' Portuguese (Brazil)', ' Portuguese', ' Russian', ' Latin American Spanish', ' Spanish', ' Swedish', ' Thai', ' Turkish', ' English (USA)', ' Czech', ' Estonian', ' Latvian', ' Lithuanian', '']",0,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/opq-profile-report/,FALSE
SVAR - Spoken English (Indian Accent) (New),"an automated spoken english test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken english understanding. your use of this assessment product may be subject to new york city law 144 (regulation of the use of automated employment decision tools) (dated july 5, 2023). compliance with law 144 is your responsibility. read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","['Entry-Level', '']","['English (USA)', '']",0,['Skills'],TRUE,https://www.shl.com/products/product-catalog/view/svar-spoken-english-indian-accent-new/,FALSE
Oracle WebLogic Server (New),"multi-choice test that measures the knowledge of the concepts of weblogic such as server installation, administration, node, logs manager, security and deployment.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",7,['K'],TRUE,https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,FALSE
Business Communications,"this test measures the candidates knowledge of communicating in the workplace. it measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. designed for the average business worker, this test includes the following topics: electronic communication, employment communication, listening, meetings, nonverbal communication, verbal communication, and written communication. this version of the test is not adaptive.",[''],"['English (USA)', '']",35,['K'],TRUE,https://www.shl.com/products/product-catalog/view/business-communications/,FALSE
MS Word (New),multi-choice test that measures the ability to use ms word to record and save textual information.,"['Professional Individual Contributor', ' Supervisor', ' Mid-Professional', ' Entry-Level', ' Graduate', ' Manager', '']","['Spanish', ' French', ' Portuguese (Brazil)', ' English (USA)', '']",4,['K'],TRUE,https://www.shl.com/products/product-catalog/view/ms-word-new/,FALSE
Zabbix (New),"multi-choice test that measures the knowledge of zabbix architecture, data handling, monitoring and administration.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",9,['K'],TRUE,https://www.shl.com/products/product-catalog/view/zabbix-new/,FALSE
Hibernate (New),"multi-choice test that measures the knowledge of hibernate architecture, hibernate mapping and hibernate query language(hql).","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",5,['K'],TRUE,https://www.shl.com/products/product-catalog/view/hibernate-new/,FALSE
Power Electronics and Drives (New),"multi-choice test that measures the knowledge of power semiconductor devices, power electronic converters, drives and control systems.","['Mid-Professional', ' Professional Individual Contributor', ' Graduate', '']","['English (USA)', '']",15,['K'],TRUE,https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,FALSE
Business Communication (adaptive),"this is an adaptive test that measures knowledge of communicating in the workplace. it measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. designed for the average business worker, this test includes the following topics: electronic communication, employment communication, listening, meetings, nonverbal communication, verbal communication, and written communication.","['Entry-Level', ' Front Line Manager', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",24,['K'],TRUE,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,TRUE
Mechatronics Engineering (New),"multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators, computational elements and application of mechatronic systems.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",19,['K'],TRUE,https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,FALSE
MongoDB (New),"multi-choice test that measures the conceptual knowledge of mongodb like sharding, replication, indexing, security and storage. it also checks the knowledge of mongodb queries and data models.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",7,['K'],TRUE,https://www.shl.com/products/product-catalog/view/mongodb-new/,FALSE
Reading Comprehension - Spanish v1,"the reading comprehension - spanish assessment provides a general measure of spanish reading comprehension. this test is comprised of items that contain a passage that must read in order to answer the question being asked. the questions focus on the ability to demonstrate an understanding of the passage. questions may be specific in nature, with answers that can be found almost word for word in the passage. for example, the question may ask for a date, name or place that can be found by closely reading through the passage. alternatively, the questions may be general in nature, with answers that can be determined only by fully understanding the meaning of the passage. what is the theme of the passage? or what is the mood of the author? are examples of general questions that may be asked.","['Entry-Level', ' Front Line Manager', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', '']","['Latin American Spanish', '']",26,['Ability'],TRUE,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,TRUE
SAP Business Objects WebI (New),"multi-choice test that measures the knowledge of sap interactive analysis, reporting, formatting and scheduling documents.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",10,['K'],TRUE,https://www.shl.com/products/product-catalog/view/sap-business-objects-webi-new/,FALSE
Kubernetes (New),"multi-choice test that measures the knowledge of the architecture, cluster and services of kubernetes.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",6,['K'],TRUE,https://www.shl.com/products/product-catalog/view/kubernetes-new/,FALSE
Front Office Management (New),multi-choice test that measures the knowledge of front office operations.,"['Entry-Level', ' Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",7,['K'],TRUE,https://www.shl.com/products/product-catalog/view/front-office-management-new/,FALSE
Electrical and Electronics Engineering (New),"multi-choice test that measures the candidates knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",14,['K'],TRUE,https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,FALSE
Financial and Banking Services (New),"multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of macroeconomics.","['Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",9,['K'],TRUE,https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,FALSE
Electronics and Embedded Systems Engineering (New),"multi-choice test that measures the candidates knowledge and understanding on concepts like embedded systems and, analog and digital electronics.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",18,['K'],TRUE,https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,FALSE
Workplace Administration Skills (New),"multi-choice test that measures the ability to organize ones workplace, properly maintain data, perform simple tasks on the computer and resolve administrative issues.","['Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",12,['K'],TRUE,https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,FALSE
SHL Verify Interactive G+,"shl verify interactive g (svig) is a test of general cognitive ability that also generates accurate assessments of three specific abilities: deductive reasoning, inductive reasoning, and numerical reasoning. the candidate will see questions measuring all three abilities. candidates will receive a score on each of the specific abilities as well as a general ability score. this test is appropriate for all job levels, however it is most relevant for positions that require cognitive ability across a range of specific skills. completion time is 36 minutes for the test itself, plus 10 minutes for instructions and practice.","['Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', ' Chinese Traditional', ' Korean', ' Serbian', ' Slovak', ' Spanish', ' English International', ' Danish', ' Swedish', ' Norwegian', ' Finnish', ' Latvian', ' Lithuanian', ' Estonian', ' Portuguese', ' Hungarian', ' Thai', ' Czech', ' Polish', ' Turkish', ' Portuguese (Brazil)', ' Romanian', ' Latin American Spanish', ' Italian', ' French (Canada)', ' Chinese Simplified', ' Dutch', ' German', ' French', ' Russian', ' Indonesian', ' Greek', ' Japanese', '']",36,['Ability'],TRUE,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/,TRUE
Training Development,"the training development test measures knowledge of developing and delivering training programs. designed for experienced trainers, this test covers the following topics: analysis methods, audience analysis, design materials, design strategy, developing instructional materials, general knowledge, media, project management plan, purpose of training, training delivery, and writing instructional objectives.","['Front Line Manager', ' Manager', '']","['English (USA)', '']",15,['K'],TRUE,https://www.shl.com/products/product-catalog/view/training-development/,TRUE
COBOL Programming (New),"multi-choice test that measures the knowledge of cobol programming fundamentals, programming structure and different types of application processing.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",10,['K'],TRUE,https://www.shl.com/products/product-catalog/view/cobol-programming-new/,FALSE
Cyber Risk (New),"multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.","['Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",9,['K'],TRUE,https://www.shl.com/products/product-catalog/view/cyber-risk-new/,FALSE
SAP HCM (Human Capital Management) (New),"multi-choice test that measures the knowledge of sap hr/ hcm structure, personnel administration, sap hcm tasks, sap hcm successfactors solutions.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",0,['K'],TRUE,https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/,FALSE
Verify Interactive G+ Candidate Report,verify interactive g candidate report,[''],[''],0,['Ability'],TRUE,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,FALSE
OPQ Maximising your Learning Report,this opq (occupational personality questionnaire) report is designed to help people get the most from their development. it summarises the preferred approach to learning across four dimensions.,"['Executive', ' Front Line Manager', ' General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', ' Director', '']","['Danish', ' Dutch', ' Portuguese', ' Swedish', ' English International', '']",0,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,FALSE
Production and Industrial Engineering (New),"multi-choice test that measures the knowledge of production technology, quality management, and design and planning of manufacturing systems.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",13,['K'],TRUE,https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,FALSE
SAP Hybris (New),"multi-choice test that measures the knowledge of hybris extensions, its architecture, configuration, data modelling and management, service layer programming, cockpit framework and workflows.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",20,['K'],TRUE,https://www.shl.com/products/product-catalog/view/sap-hybris-new/,FALSE
Aerospace Engineering (New),"multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",10,['K'],TRUE,https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,FALSE
Dependability and Safety Instrument (DSI),"the dsi is a short pre-screening tool for many key entry-level roles. it is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors. note: turkish end june 2012 and romanian end may 2013 are on limited beta relase","['Entry-Level', '']","['Portuguese (Brazil)', ' Chinese Traditional', ' Danish', ' Dutch', ' Finnish', ' French', ' German', ' Icelandic', ' Chinese Simplified', ' English International', ' Italian', ' Latin American Spanish', ' Polish', ' Swedish', ' English (USA)', ' Norwegian', ' Russian', '']",10,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,FALSE
Java Frameworks (New),"multi-choice test that measures the knowledge of different java frameworks - struts, hibernate and spring.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",17,['K'],TRUE,https://www.shl.com/products/product-catalog/view/java-frameworks-new/,FALSE
